ConfJournal_id,nom,chercheur_id,type,periodicite,lien
icitst,ICITST,,Conference,,https://dblp.org/db/conf/icitst/icitst2013.html#BoukhadraBB13
iwinac,IWINAC (1),,Conference,,https://dblp.org/db/conf/iwinac/iwinac2013-1.html#HamdadABDB13
nicso,NICSO,,Conference,,https://dblp.org/db/conf/nicso/nicso2013.html#BessedikDB13
amt,AMT,,Conference,,https://dblp.org/db/conf/amt/amt2012.html#HedjaziAAB12
cason,CASoN,,Conference,,https://dblp.org/db/conf/cason/cason2012.html#NabilKMA12
iat,IAT,,Conference,,https://dblp.org/db/conf/iat/iat2012.html#HedjaziAAB12
icaart,ICAART (2),,Conference,,https://dblp.org/db/conf/icaart/icaart2012-2.html#BadiaaMSK12
iscc,ISCC,,Conference,,https://dblp.org/db/conf/iscc/iscc2012.html#BechkitKCBSB12
IEEEicci,IEEE ICCI*CC,,Conference,,https://dblp.org/db/conf/IEEEicci/IEEEicci2011.html#MahmoudiBB11
amc,Appl. Math. Comput.,,Journal,,https://dblp.org/db/journals/amc/amc186.html#KoudilBTS07
smc,SMC (4),,Conference,,https://dblp.org/db/conf/smc/smc2004-4.html#AdmaneBKDGH04
ejisdc,Electron. J. Inf. Syst. Dev. Ctries.,,Journal,,https://dblp.org/db/journals/ejisdc/ejisdc89.html#HarounG23
eait,Educ. Inf. Technol.,,Journal,,https://dblp.org/db/journals/eait/eait27.html#BoutefaraMG22
ijide,Int. J. Innov. Digit. Econ.,,Journal,,https://dblp.org/db/journals/ijide/ijide13.html#ZineMZG22
ijssci,Int. J. Softw. Sci. Comput. Intell.,,Journal,,https://dblp.org/db/journals/ijssci/ijssci14.html#ZemmouchiGhomariBMG22
jwe,J. Web Eng.,,Journal,,https://dblp.org/db/journals/jwe/jwe20.html#MehereheraMZG21
ijec,Int. J. e Collab.,,Journal,,https://dblp.org/db/journals/ijec/ijec16.html#BenaliGZL20
eis,Enterp. Inf. Syst.,,Journal,,https://dblp.org/db/journals/eis/eis13.html#SidRG19
eda,EDA,,Conference,,https://dblp.org/db/conf/eda/eda2019.html#KhouriBGA19
medi,MEDI,,Conference,,https://dblp.org/db/conf/medi/medi2019.html#KhouriGA19
ciia,CIIA,,Conference,,https://dblp.org/db/conf/ciia/ciia2018.html#BenaliGZ18
intellisys,IntelliSys (2),,Conference,,https://dblp.org/db/conf/intellisys/intellisys2018-2.html#BadsiGZ18
ijssmet,Int. J. Serv. Sci. Manag. Eng. Technol.,,Journal,,https://dblp.org/db/journals/ijssmet/ijssmet8.html#BadsiGZ17
icebe,ICEBE,,Conference,,https://dblp.org/db/conf/icebe/icebe2017.html#AouachriaLGGH17
icete,ICE-B,,Conference,,https://dblp.org/db/conf/icete/ice-b2017.html#AouachriaLG17
iscram,ISCRAM,,Conference,,https://dblp.org/db/conf/iscram/iscram2017.html#BenaliG17
ict-dm,ICT-DM,,Conference,,https://dblp.org/db/conf/ict-dm/ict-dm2016.html#BenaliG16
ijbis,Int. J. Bus. Inf. Syst.,,Journal,,https://dblp.org/db/journals/ijbis/ijbis19.html#BadsiZG15
iciip,IPAC,,Conference,,https://dblp.org/db/conf/iciip/ipac2015.html#AouachriaGS15
ijws,Int. J. Web Sci.,,Journal,,https://dblp.org/db/journals/ijws/ijws1.html#Zemmouchi-GhomariG12
cisis,CISIS,,Conference,,https://dblp.org/db/conf/cisis/cisis2009.html#GhomariG09
sitis,SITIS,,Conference,,https://dblp.org/db/conf/sitis/sitis2009.html#Zemmouchi-GhomariG09
ecs,Egypt. Comput. Sci. J.,,Journal,,https://dblp.org/db/journals/ecs/ecs29.html#GhomariCA07
ijseke,Int. J. Softw. Eng. Knowl. Eng.,,Journal,,https://dblp.org/db/journals/ijseke/ijseke33.html#BensattalahCN23
jksucis,J. King Saud Univ. Comput. Inf. Sci.,,Journal,,https://dblp.org/db/journals/jksucis/jksucis35.html#BoumahdiOCHM23
ijkl,Int. J. Knowl. Learn.,,Journal,,https://dblp.org/db/journals/ijkl/ijkl15.html#LadegC22
worldcist,WorldCIST (1),,Conference,,https://dblp.org/db/conf/worldcist/worldcist2022-1.html#LounesROCH22
ao,Appl. Ontology,,Journal,,https://dblp.org/db/journals/ao/ao14.html#BouzidiNNC19
dke,Data Knowl. Eng.,,Journal,,https://dblp.org/db/journals/dke/dke120.html#OuaretBBC19
is,Inf. Syst.,,Journal,,https://dblp.org/db/journals/is/is79.html#ChouderRC19
icbdt,ICBDT,,Conference,,https://dblp.org/db/conf/icbdt/icbdt2019.html#TaibouniC19
icist2,ICIST,,Conference,,https://dblp.org/db/conf/icist2/icist2019.html#BouzidiBNC19
