ConfJournal_id,titre_publication,chercheur_id,date_publication,lien,nombre_pages,nombre_volumes
icalt,A Formative Assessment Ontology for Students' Lab Reports in Lab Book.,2000032,2015,https://dblp.org/rec/conf/icalt/MokeddemDR15,253-255,
ijssoe,SOAda: A New Architecture to Enrich SOA with a Decisional Aspect.,2000032,2014,https://dblp.org/rec/journals/ijssoe/BoumahdiC14,13-27,4
jdim,An Approach for Generating an XML Data Warehouse Schema using Model Transformation Language.,2000032,2014,https://dblp.org/rec/journals/jdim/OuaretCB14,407-420,12
aiccsa,A global and comprehensive approach for XML data warehouse design.,2000032,2014,https://dblp.org/rec/conf/aiccsa/OuaretBC14,578-585,
icdim,Towards the automation of XML data warehouse logical design.,2000032,2014,https://dblp.org/rec/conf/icdim/OuaretBC14,27-32,
corr,SoaDssPm: A new Service-Oriented Architecture of the decision support system for the Project Management.,2000032,2014,https://dblp.org/rec/journals/corr/BoumahdiC14,,abs/1401.5433
ijicot,An overview of XML warehouse design approaches and techniques.,2000032,2013,https://dblp.org/rec/journals/ijicot/OuaretCB13,140-170,2
ijmso,Merging ontology by semantic enrichment and combining similarity measures.,2000032,2013,https://dblp.org/rec/journals/ijmso/FarehBCMN13,65-74,8
aiccsa,"Semantic metadata mediation: XML, RDF and RuleML.",2000032,2013,https://dblp.org/rec/conf/aiccsa/FarehBC13,1-8,
kes,SOAda: Service Oriented Architecture with a Decision Aspect.,2000032,2013,https://dblp.org/rec/conf/kes/BoumahdiC13,340-348,
sci,Mapping System for Merging Ontologies.,2000032,2013,https://dblp.org/rec/series/sci/FarehBC13,205-216,
ecs,Business Knowledge Acquisition Methodological Approach.,2000032,2007,https://dblp.org/rec/journals/ecs/GhomariCA07,,29
ijgs,A hybrid approach for enhanced link prediction in social networks based on community detection.,2000018,2024,https://dblp.org/rec/journals/ijgs/KerkacheST24,154-183,53
mta,Improved artificial bee colony algorithm based on community detection for link prediction problem.,2000018,2024,https://dblp.org/rec/journals/mta/KerkacheST24,41655-41681,83
icaart,Flattening Based Cuckoo Search Optimization Algorithm for Community Detection in Multiplex Networks.,2000018,2024,https://dblp.org/rec/conf/icaart/BoukabeneTD24,519-526,
corr,LOOPer: A Learned Automatic Code Optimizer For Polyhedral Compilers.,2000018,2024,https://dblp.org/rec/journals/corr/abs-2403-11522,,abs/2403.11522
